"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"211","other","Father",2.89356605065024,"and",1,27,0.037037037037037,37.037037037037
"212","other","Father",2.90451745379877,"and",2,32,0.0625,62.5
"213","other","Father",2.90999315537303,"and",2,25,0.08,80
"214","other","Father",2.91666529774127,"and",10,669,0.0149476831091181,14.9476831091181
"215","other","Father",2.91666529774127,"or",3,669,0.00448430493273543,4.48430493273543
"216","other","Father",2.91940314852841,"and",1,39,0.0256410256410256,25.6410256410256
"217","other","Father",2.92214099931554,"and",1,11,0.0909090909090909,90.9090909090909
"218","other","Father",2.92487885010267,"and",5,67,0.0746268656716418,74.6268656716418
"219","other","Father",2.92487885010267,"or",1,67,0.0149253731343284,14.9253731343284
"220","other","Father",2.9276167008898,"and",9,206,0.0436893203883495,43.6893203883495
"221","other","Father",2.93309240246407,"and",4,188,0.0212765957446809,21.2765957446809
"222","other","Father",2.9358302532512,"and",2,15,0.133333333333333,133.333333333333
"223","other","Father",2.94404380561259,"and",1,39,0.0256410256410256,25.6410256410256
"224","other","Father",2.95499520876112,"and",2,59,0.0338983050847458,33.8983050847458
"225","other","Father",2.96320876112252,"and",14,207,0.0676328502415459,67.6328502415459
"226","other","Father",2.96594661190965,"and",1,45,0.0222222222222222,22.2222222222222
"227","other","Father",2.97416016427105,"and",1,9,0.111111111111111,111.111111111111
"228","other","Father",3,"and",14,942,0.0148619957537155,14.8619957537155
"229","other","Father",3,"or",1,942,0.00106157112526539,1.06157112526539
"230","other","Father",3.00273785078713,"and",6,229,0.0262008733624454,26.2008733624454
"231","other","Father",3.00547570157426,"and",6,144,0.0416666666666667,41.6666666666667
"232","other","Father",3.01095140314853,"and",3,47,0.0638297872340425,63.8297872340425
"233","other","Father",3.01095140314853,"or",3,47,0.0638297872340425,63.8297872340425
"234","other","Father",3.01368925393566,"and",2,36,0.0555555555555556,55.5555555555556
"235","other","Father",3.01642710472279,"and",1,41,0.024390243902439,24.390243902439
"236","other","Father",3.02190280629706,"and",10,210,0.0476190476190476,47.6190476190476
"237","other","Father",3.03011635865845,"and",6,104,0.0576923076923077,57.6923076923077
"238","other","Father",3.03011635865845,"or",1,104,0.00961538461538462,9.61538461538462
"239","other","Father",3.03285420944559,"and",2,58,0.0344827586206897,34.4827586206897
"240","other","Father",3.03559206023272,"and",1,22,0.0454545454545455,45.4545454545455
"241","other","Father",3.04106776180698,"and",8,146,0.0547945205479452,54.7945205479452
"242","other","Father",3.04106776180698,"or",1,146,0.00684931506849315,6.84931506849315
"243","other","Father",3.04380561259411,"and",10,172,0.0581395348837209,58.1395348837209
"244","other","Father",3.04928131416838,"and",4,40,0.1,100
"245","other","Father",3.05201916495551,"and",1,115,0.00869565217391304,8.69565217391304
"246","other","Father",3.05475701574264,"and",2,127,0.015748031496063,15.748031496063
"247","other","Father",3.05475701574264,"or",2,127,0.015748031496063,15.748031496063
"248","other","Father",3.05749486652977,"and",2,22,0.0909090909090909,90.9090909090909
"249","other","Father",3.06023271731691,"and",12,148,0.0810810810810811,81.0810810810811
"250","other","Father",3.06023271731691,"or",1,148,0.00675675675675676,6.75675675675676
"251","other","Father",3.06297056810404,"and",3,131,0.0229007633587786,22.9007633587786
"252","other","Father",3.0684462696783,"and",2,70,0.0285714285714286,28.5714285714286
"253","other","Father",3.07392197125257,"and",1,27,0.037037037037037,37.037037037037
"254","other","Father",3.08213552361396,"and",6,118,0.0508474576271186,50.8474576271187
"255","other","Father",3.08213552361396,"or",1,118,0.00847457627118644,8.47457627118644
"256","other","Father",3.08333470225873,"and",2,55,0.0363636363636364,36.3636363636364
"257","other","Father",3.09428610540726,"and",6,103,0.058252427184466,58.252427184466
"258","other","Father",3.09702395619439,"and",8,96,0.0833333333333333,83.3333333333333
"259","other","Father",3.09976180698152,"and",7,55,0.127272727272727,127.272727272727
"260","other","Father",3.11892676249144,"and",2,43,0.0465116279069767,46.5116279069767
"261","other","Father",3.17488021902806,"and",9,126,0.0714285714285714,71.4285714285714
"262","other","Father",3.18035592060233,"and",1,9,0.111111111111111,111.111111111111
"263","other","Father",3.19952087611225,"and",4,72,0.0555555555555556,55.5555555555556
"264","other","Father",3.22416153319644,"and",3,86,0.0348837209302326,34.8837209302326
"265","other","Father",3.24999863107461,"and",9,1035,0.00869565217391304,8.69565217391304
"266","other","Father",3.26095003422313,"and",1,31,0.032258064516129,32.258064516129
"267","other","Father",3.28285284052019,"or",1,29,0.0344827586206897,34.4827586206897
"268","other","Father",3.29106639288159,"and",3,69,0.0434782608695652,43.4782608695652
"269","other","Father",3.31844490075291,"and",1,101,0.0099009900990099,9.9009900990099
"270","other","Father",3.32392060232717,"and",1,42,0.0238095238095238,23.8095238095238
"271","other","Father",3.34154688569473,"and",3,26,0.115384615384615,115.384615384615
"272","other","Father",3.35523613963039,"and",2,66,0.0303030303030303,30.3030303030303
"273","other","Father",3.35797399041752,"and",2,96,0.0208333333333333,20.8333333333333
"274","other","Father",3.38261464750171,"and",2,172,0.0116279069767442,11.6279069767442
"275","other","Father",3.40999315537303,"and",1,25,0.04,40
"276","other","Father",3.41666803559206,"and",92,4464,0.0206093189964158,20.6093189964158
"277","other","Father",3.41666803559206,"or",11,4464,0.00246415770609319,2.46415770609319
"278","other","Father",3.44952224503765,"and",3,32,0.09375,93.75
"279","other","Father",3.46047364818617,"or",2,25,0.08,80
"280","other","Father",3.4878521560575,"and",2,28,0.0714285714285714,71.4285714285714
"281","other","Father",3.49332785763176,"and",1,12,0.0833333333333333,83.3333333333333
"282","other","Father",3.49880355920602,"and",1,2,0.5,500
"283","other","Father",3.51916495550992,"and",1,8,0.125,125
"284","other","Father",3.54380561259411,"and",2,15,0.133333333333333,133.333333333333
"285","other","Father",3.5684462696783,"and",1,19,0.0526315789473684,52.6315789473684
"286","other","Father",3.5766598220397,"and",2,29,0.0689655172413793,68.9655172413793
"287","other","Father",3.58333196440794,"and",45,2190,0.0205479452054795,20.5479452054795
"288","other","Father",3.58333196440794,"or",7,2190,0.00319634703196347,3.19634703196347
"289","other","Father",3.58606981519507,"and",2,138,0.0144927536231884,14.4927536231884
"290","other","Father",3.58606981519507,"or",1,138,0.0072463768115942,7.2463768115942
"291","other","Father",3.63808898015058,"and",1,17,0.0588235294117647,58.8235294117647
"292","other","Father",3.65177823408624,"and",9,260,0.0346153846153846,34.6153846153846
"293","other","Father",3.65177823408624,"or",1,260,0.00384615384615385,3.84615384615385
"294","other","Father",3.66666666666667,"and",3,31,0.0967741935483871,96.7741935483871
"295","other","Father",3.67488021902806,"and",1,11,0.0909090909090909,90.9090909090909
"296","other","Father",3.68035592060233,"and",1,23,0.0434782608695652,43.4782608695652
"297","other","Father",3.68856947296372,"and",1,9,0.111111111111111,111.111111111111
"298","other","Father",3.71594798083504,"and",1,11,0.0909090909090909,90.9090909090909
"299","other","Father",3.74058863791923,"and",1,9,0.111111111111111,111.111111111111
"300","other","Father",3.83607118412047,"and",1,16,0.0625,62.5
"301","other","Father",3.86071184120465,"and",2,102,0.0196078431372549,19.6078431372549
"302","other","Father",3.87166324435318,"and",3,72,0.0416666666666667,41.6666666666667
"303","other","Father",3.88535249828884,"and",29,234,0.123931623931624,123.931623931624
"304","other","Father",3.89356605065024,"and",1,22,0.0454545454545455,45.4545454545455
"305","other","Father",3.8990417522245,"and",3,21,0.142857142857143,142.857142857143
"306","other","Father",3.94130595482546,"and",8,37,0.216216216216216,216.216216216216
"307","other","Father",3.95499520876112,"and",1,23,0.0434782608695652,43.4782608695652
"308","other","Father",3.97689801505818,"and",9,87,0.103448275862069,103.448275862069
"309","other","Father",3.99058726899384,"and",1,23,0.0434782608695652,43.4782608695652
"310","other","Father",3.99332511978097,"and",1,110,0.00909090909090909,9.09090909090909
"311","other","Father",3.99880082135524,"and",3,66,0.0454545454545455,45.4545454545455
